"Title","Unemployed 16-24 year olds by ethnicity over time"
"Location","England, Wales and Scotland"
"Time period","2004 to 2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","December 2016"

"Standard Ethnicity","Year","%"
"White","2004","11"
"White","2005","12"
"White","2006","13"
"White","2007","13"
"White","2008","14"
"White","2009","18"
"White","2010","18"
"White","2011","N/A"
"White","2012","20"
"White","2013","18"
"White","2014","16"
"White","2015","13"
"White","2016","12"
"Other","2004","24"
"Other","2005","23"
"Other","2006","23"
"Other","2007","24"
"Other","2008","26"
"Other","2009","29"
"Other","2010","31"
"Other","2011","N/A"
"Other","2012","33"
"Other","2013","35"
"Other","2014","27"
"Other","2015","24"
"Other","2016","23"
