"Ethnicity","Year","Juveniles","Young adults","Adults"
"Asian","2009","16","21","19"
"Asian","2010","14","21","20"
"Asian","2011","17","24","22"
"Asian","2012","16","24","22"
"Asian","2013","15","23","23"
"Asian","2014","17","25","25"
"Asian","2015","21","26","25"
"Asian","2016","21","23","25"
"Asian","2017","18","29","27"
"Black","2009","15","24","20"
"Black","2010","17","25","21"
"Black","2011","16","26","23"
"Black","2012","17","27","23"
"Black","2013","19","27","24"
"Black","2014","19","27","25"
"Black","2015","18","24","26"
"Black","2016","16","25","24"
"Black","2017","20","28","26"
"Mixed","2009","13","18","16"
"Mixed","2010","14","18","18"
"Mixed","2011","14","19","18"
"Mixed","2012","15","22","20"
"Mixed","2013","17","22","19"
"Mixed","2014","16","24","19"
"Mixed","2015","21","22","20"
"Mixed","2016","20","23","20"
"Mixed","2017","19","21","22"
"White","2009","11","14","15"
"White","2010","12","15","15"
"White","2011","12","16","16"
"White","2012","12","17","16"
"White","2013","13","19","17"
"White","2014","13","17","17"
"White","2015","15","18","18"
"White","2016","14","18","18"
"White","2017","17","19","18"
"Other inc Chinese","2009","13","21","17"
"Other inc Chinese","2010","18","18","16"
"Other inc Chinese","2011","13","21","17"
"Other inc Chinese","2012","13","17","17"
"Other inc Chinese","2013","13","16","19"
"Other inc Chinese","2014","14","17","20"
"Other inc Chinese","2015","15","19","22"
"Other inc Chinese","2016","16","21","24"
"Other inc Chinese","2017","13","20","21"
