"","Men","","Women",""
"","%","Teachers","%","Teachers"
"Asian","","","",""
"Bangladeshi","0.1","!","!","!"
"Indian","0.6","!","0.8","100"
"Pakistani","0.3","!","0.3","!"
"Asian other","0.2","!","0.2","!"
"Black","","","",""
"Black African","0.1","!","0.2","!"
"Black Caribbean","0.5","!","0.8","100"
"Black other","0.1","!","0.2","!"
"Mixed","","","",""
"Mixed White/Asian","0.3","!","0.2","!"
"Mixed White/Black African","!","!","0.1","!"
"Mixed White/Black Caribbean","0.1","!","0.3","!"
"Mixed other","0.1","!","0.3","!"
"White","","","",""
"White British","93.1","6,500","93.0","13,200"
"White Irish","2.2","200","1.7","200"
"White other","2.0","100","1.7","200"
"Other inc Chinese","","","",""
"Chinese","0.1","!","!","!"
"Any other","0.1","!","0.2","!"
"Unknown","N/A","!","N/A","700"
