"Title","Science attainment for children aged 6 to 7 by ethnicity"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28/09/17"

"Ethnicity","Expected standard"
"All","83"
"Asian","81"
"Bangladeshi","79"
"Indian","88"
"Pakistani","77"
"Asian other","83"
"Black","80"
"Black African","81"
"Black Caribbean","79"
"Black other","79"
"Chinese","89"
"Mixed","84"
"Mixed White/Asian","86"
"Mixed White/Black African","84"
"Mixed White/Black Caribbean","81"
"Mixed other","84"
"White","83"
"White British","84"
"White Irish","84"
"White Irish Traveller","46"
"White Gypsy/Roma","38"
"White other","78"
"Other","75"
