"","All ethnic groups","Asian ","Black","Mixed ","White","Other"
"Time","Miles","Miles","Miles","Miles","Miles","Miles"
"2002/06","2.4","2.0","2.5","2.0","2.4","2.3"
"2003/07","2.4","1.9","2.5","2.0","2.4","2.3"
"2004/08","2.4","1.9","2.5","2.0","2.4","2.5"
"2005/09","2.4","1.8","2.6","2.0","2.5","1.9"
"2006/10","2.4","1.8","2.4","2.0","2.5","2.4"
"2007/11","2.5","1.9","2.4","1.9","2.5","2.8"
"2008/12","2.5","2.0","2.4","1.8","2.6","2.7"
"2009/13","2.5","2.0","2.5","2.0","2.6","2.6"
"2010/14","2.6","2.1","2.4","2.0","2.7","2.6"
"2011/15","2.6","2.1","2.3","2.1","2.6","2.3"
