"Title","Remand status at Crown Court by ethnicity"
"Location","England and Wales"
"Time period","2012 to 2016"
"Data source","Criminal Justice Statistics"
"Data source link","https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-september-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2014"

"","Not remanded","","","Bail","","","Custody","",""
"Year","Ethnicity","%","Number","Ethnicity","%","Number","Ethnicity","%","Number"
"2012"," White","17.4"," 12,479 "," White","49.5"," 35,535 "," White","33.1"," 23,803 "
"2012"," White","17.4"," 12,479 "," White","49.5"," 35,535 "," White","33.1"," 23,803 "
"2012"," White","17.4"," 12,479 "," White","49.5"," 35,535 "," White","33.1"," 23,803 "
"2012"," White","17.4"," 12,479 "," White","49.5"," 35,535 "," White","33.1"," 23,803 "
"2012"," White","17.4"," 12,479 "," White","49.5"," 35,535 "," White","33.1"," 23,803 "
"2012"," White","17.4"," 12,479 "," White","49.5"," 35,535 "," White","33.1"," 23,803 "
"2013"," White","18.0"," 12,160 "," White","47.2"," 31,888 "," White","34.8"," 23,460 "
"2013"," White","18.0"," 12,160 "," White","47.2"," 31,888 "," White","34.8"," 23,460 "
"2013"," White","18.0"," 12,160 "," White","47.2"," 31,888 "," White","34.8"," 23,460 "
"2013"," White","18.0"," 12,160 "," White","47.2"," 31,888 "," White","34.8"," 23,460 "
"2013"," White","18.0"," 12,160 "," White","47.2"," 31,888 "," White","34.8"," 23,460 "
"2013"," White","18.0"," 12,160 "," White","47.2"," 31,888 "," White","34.8"," 23,460 "
"2014"," White","15.4"," 10,524 "," White","47.7"," 32,521 "," White","36.8"," 25,111 "
"2014"," White","15.4"," 10,524 "," White","47.7"," 32,521 "," White","36.8"," 25,111 "
"2014"," White","15.4"," 10,524 "," White","47.7"," 32,521 "," White","36.8"," 25,111 "
"2014"," White","15.4"," 10,524 "," White","47.7"," 32,521 "," White","36.8"," 25,111 "
"2014"," White","15.4"," 10,524 "," White","47.7"," 32,521 "," White","36.8"," 25,111 "
"2014"," White","15.4"," 10,524 "," White","47.7"," 32,521 "," White","36.8"," 25,111 "
"2015"," White","14.2"," 9,592 "," White","49.2"," 33,188 "," White","36.5"," 24,623 "
"2015"," White","14.2"," 9,592 "," White","49.2"," 33,188 "," White","36.5"," 24,623 "
"2015"," White","14.2"," 9,592 "," White","49.2"," 33,188 "," White","36.5"," 24,623 "
"2015"," White","14.2"," 9,592 "," White","49.2"," 33,188 "," White","36.5"," 24,623 "
"2015"," White","14.2"," 9,592 "," White","49.2"," 33,188 "," White","36.5"," 24,623 "
"2015"," White","14.2"," 9,592 "," White","49.2"," 33,188 "," White","36.5"," 24,623 "
"2016"," White","17.5"," 10,512 "," White","47.6"," 28,530 "," White","34.9"," 20,894 "
"2016"," White","17.5"," 10,512 "," White","47.6"," 28,530 "," White","34.9"," 20,894 "
"2016"," White","17.5"," 10,512 "," White","47.6"," 28,530 "," White","34.9"," 20,894 "
"2016"," White","17.5"," 10,512 "," White","47.6"," 28,530 "," White","34.9"," 20,894 "
"2016"," White","17.5"," 10,512 "," White","47.6"," 28,530 "," White","34.9"," 20,894 "
"2016"," White","17.5"," 10,512 "," White","47.6"," 28,530 "," White","34.9"," 20,894 "
