"Year","Service","%"
"Apr-12","All Services","7.9"
"Apr-12","Army","11.1"
"Apr-12","Royal Air Force","1.9"
"Apr-12","Royal Navy/Royal Marines","4.0"
"Apr-13","All Services","8.1"
"Apr-13","Army","11.4"
"Apr-13","Royal Air Force","2.0"
"Apr-13","Royal Navy/Royal Marines","3.9"
"Apr-14","All Services","8.1"
"Apr-14","Army","11.6"
"Apr-14","Royal Air Force","2.0"
"Apr-14","Royal Navy/Royal Marines","3.9"
"Apr-15","All Services","8.0"
"Apr-15","Army","11.5"
"Apr-15","Royal Air Force","2.1"
"Apr-15","Royal Navy/Royal Marines","4.0"
"Apr-16","All Services","8.0"
"Apr-16","Army","11.5"
"Apr-16","Royal Air Force","2.2"
"Apr-16","Royal Navy/Royal Marines","3.9"
"Apr-17","All Services","8.3"
"Apr-17","Army","11.9"
"Apr-17","Royal Air Force","2.3"
"Apr-17","Royal Navy/Royal Marines","3.9"
