"Year","Ethnicity","Very or fairly satisfied	(%)","Very or fairly dissatisfied (%)"
"2014/15","Asian","84","15"
"2014/15","Black","75","22"
"2014/15","Mixed","82","17"
"2014/15","White British","83","16"
"2014/15","White other","82","15"
"2014/15","Other","73","23"
"2014/15","Unknown","-","-"
"2015/16","Asian","85","14"
"2015/16","Black","83","15"
"2015/16","Mixed","82","16"
"2015/16","White British","85","14"
"2015/16","White other","79","18"
"2015/16","Other","74","21"
"2015/16","Unknown","14","27"
