"Title","Judges and non-legal members of the judiciary by ethnicity"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Judicial Statistics 2016"
"Data source link","https://www.judiciary.gov.uk/publications/judicial-statistics-2016/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","July 2017"

"Standard Ethnicity","Court/Tribunal",""
"Asian","Court judges","79"
"Asian","Tribunal judges and non-legal members","390"
"Black","Court judges","26"
"Black","Tribunal judges and non-legal members","106"
"Mixed","Court judges","41"
"Mixed","Tribunal judges and non-legal members","64"
"White","Court judges","2,506"
"White","Tribunal judges and non-legal members","4,130"
"Other","Court judges","28"
"Other","Tribunal judges and non-legal members","90"
"Unknown","Court judges","522"
"Unknown","Tribunal judges and non-legal members","662"
