"Title","Writing attainment for children aged 6 to 7 by ethnicity"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28/09/17"

"Ethnicity","Expected standard","Higher standard"
"All","68","16"
"Asian","72","17"
"Bangladeshi","70","16"
"Indian","79","24"
"Pakistani","66","12"
"Asian other","74","19"
"Black","71","16"
"Black African","72","17"
"Black Caribbean","66","12"
"Black other","68","15"
"Chinese","82","29"
"Mixed","70","17"
"Mixed White/Asian","75","21"
"Mixed White/Black African","71","17"
"Mixed White/Black Caribbean","64","12"
"Mixed other","71","18"
"White","68","15"
"White British","68","16"
"White Irish","68","17"
"White Irish Traveller","26","2"
"White Gypsy/Roma","22","1"
"White other","64","14"
"Other","64","13"
